track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time_signature
6rvHjRpnRhzQVeu8I5CqHp,179232,0.59,0.871,-3.665,0.113,0.073,0.000128,0.364,0.234,109.869,6,0,4
3HUJw4KvL5baIwuh0wWPoh,107322,0.479,0.591,-9.129,0.0508,0.136,1.16e-06,0.463,0.551,102.174,7,1,4
5H7d8isXFW779pCK7lo4KT,233447,0.407,0.826,-3.443,0.0926,0.086,1.21e-06,0.979,0.277,133.942,4,0,3
1LD1TFK08cFUBPmhi3FRAA,151583,0.626,0.769,-3.512,0.0513,0.00926,0.00097,0.95,0.255,130.044,3,1,4
32VSdGCv8wkAjUkVha9YBf,233417,0.652,0.791,-4.623,0.0655,0.467,1.45e-06,0.967,0.383,121.922,0,1,4
6AZaeRAPYnf5nKwV7HpSlQ,389728,0.43,0.811,-5.511,0.101,0.027,0.0034,0.95,0.223,107.036,1,1,4
39LmTF9RgyakzSYX8txrow,212267,0.729,0.475,-4.985,0.0364,0.378,0.0,0.12,0.371,62.52,8,1,3
1TEL6MlSSVLSdhOSddidlJ,171573,0.647,0.309,-7.948,0.0366,0.78,7.41e-06,0.202,0.195,87.045,7,0,4
4uTvPEr01pjTbZgl7jcKBD,182000,0.747,0.458,-6.891,0.303,0.451,0.0,0.252,0.47,75.029,6,1,4
2hloaUoRonYssMuqLCBLTX,216893,0.758,0.665,-5.188,0.0774,0.0815,0.000157,0.216,0.643,151.976,2,0,4
3wFLWP0FcIqHK1wb1CPthQ,208880,0.45,0.619,-7.412,0.372,0.329,0.0,0.319,0.427,83.3,9,1,4
5Il6Oe7lr5XM7A0cWbVQtr,267107,0.847,0.579,-5.314,0.0719,0.0268,0.0545,0.102,0.569,137.998,1,1,4
27356GVuMPFWiJSZCragoM,140693,0.671,0.714,-5.373,0.21,0.0844,1.48e-06,0.0568,0.477,105.137,7,1,3
2vdBo4ALPYbHRUPKgtE5iC,271467,0.287,0.364,-8.295,0.0306,0.418,1.8e-05,0.185,0.11,103.777,9,1,4
